index,Websites URL
1,httpforever.com
2,arslanshadi.com
3,amazonaws.com
4,gtld-servers.net
5,akamai.net
6,googlevideo.com
7,akamaiedge.net
8,akadns.net
9,microsoftonline.com
10,windowsupdate.com
11,ax-msedge.net
12,t-msedge.net
13,office.net
14,14emeliaterracewestroxburyma02132.su
15,apple-dns.net
16,aaplimg.com
17,e2ro.com
18,trafficmanager.net
19,domaincontrol.com
20,windows.net
21,tiktokcdn.com
22,dual-s-msedge.net
23,gvt2.com
24,cloudfront.net
25,gvt1.com
26,akam.net
27,ln-msedge.net
28,ytimg.com
29,ripn.net
30,root-servers.net
31,cdninstagram.com
32,vedcdnlb.com
33,edgekey.net
34,a2z.com
35,wac-msedge.net
36,edgesuite.net
37,t.me
38,msedge.net
39,vk.com
40,userapi.com
41,bytefcdn-oversea.com
42,aiv-cdn.net
43,trbcdn.net
44,msftncsi.com
45,miit.gov.cn
46,tumblr.com
47,steamserver.net
48,registrar-servers.com
49,3gppnetwork.org
50,ggpht.com
51,amazon.dev
52,dnsowl.com
53,tiktokcdn-us.com
54,spov-msedge.net
55,macromedia.com
56,cdn77.org
57,vecdnlb.com
58,rbxcdn.com
59,spo-msedge.net
60,msftconnecttest.com
61,shifen.com
62,cdn-apple.com
63,azurefd.net
64,nflxso.net
65,jomodns.com
66,pv-cdn.net
67,edgecdn.ru
68,azurewebsites.net
69,demdex.net
70,ksyuncdn.com
71,dns.cn
72,akamaized.net
73,a-msedge.net
74,wsdvs.com
75,kwai-pro.com
76,mangosip.ru
77,dccnet.com.cn
78,comcast.net
79,wixsite.com
80,capcutapi.com
81,youtube-nocookie.com
82,rocket-cdn.com
83,static.microsoft
84,nr-data.net
85,cdngslb.com
86,nstld.com
87,mtgglobals.com
88,ttvnw.net
89,safebrowsing.apple
90,aws.dev
91,omtrdc.net
92,ttdns2.com
93,facebook.net
94,vedsalb.com
95,alibabadns.com
96,2mdn.net
97,playstation.net
98,azureedge.net
99,media-amazon.com
100,samsungcloud.com
101,samsungqbe.com
102,nease.net
103,nominetdns.uk
104,jsdelivr.net
105,hichina.com
106,douyincdn.com
107,huawei.com
108,heytapmobile.com
109,vkuser.net
110,adobe.net
111,byteoversea.net
112,fastly-edge.com
113,kaspersky-labs.com
114,tiktokv.us
115,telecid.ru
116,dns-parking.com
117,clarity.ms
118,mynetname.net
119,akamaihd.net
120,vkontakte.ru
121,samsungcloudsolution.com
122,allawnos.com
123,arubanetworks.com
124,heytapdl.com
125,ibyteimg.com
126,stanford.edu
127,liadm.com
128,scdn.co
129,kwaipros.com
130,tiktokrow-cdn.com
131,ipv4only.arpa
132,cdnbuild.net
133,sc-gw.com
134,my.com
135,list-manage.com
136,tiktokcdn-eu.com
137,telegram.org
138,tiktokv.eu
139,imcmdb.net
140,live-video.net
141,avcdn.net
142,telegram.me
143,pangle.io
144,sfx.ms
145,qlivecdn.com
146,myhuaweicloud.com
147,firetvcaptiveportal.com
148,cdn90.cn
149,xboxlive.com
150,comcast.com
151,xcal.tv
152,wbx2.com
153,beian.gov.cn
154,kwai.net
155,bdydns.com
156,cdn20.com
157,nflximg.com
158,goskope.com
159,online-metrix.net
160,xiaomi.net
161,avsxappcaptiveportal.com
162,b-msedge.net
163,name-services.com
164,wbbasket.ru
165,indiatimes.com
166,s-msedge.net
167,xhamster.com
168,netease.com
169,msidentity.com
170,dnspod.net
