index,domains
1,0gomovies.com.pk
2,1-win.pk
3,100keys.com.pk
4,103-86-135-178.mispl.pk
5,10scaff.tuf.edu.pk
6,10thclassresult2025.com.pk
7,116.58.33-90.nexlinx.net.pk
8,11thclassresult2025.pk
9,123movies.com.pk
10,123movies.net.pk
11,14thaugust.ff.garena.pk
12,16singhaar.pk
13,19pharma.com.pk
14,1click.pk
15,1jjgame.com.pk
16,1link.net.pk
17,1outlets.pk
18,1seven.pk
19,1shr.pk
20,1ststep.pk
21,1toanother.org.pk
22,1win-casino.pk
23,1win-mobile.pk
24,1win-pak.pk
25,1win-pakistan.pk
26,1win.com.pk
27,1win.pk
28,1win1.pk
29,1winapps.pk
30,1winbet.pk
31,1winpakistanbk.pk
32,1wins.pk
33,1winsports.pk
34,1xbet-app.pk
35,1xbet-pk.pk
36,1xbet.pk
37,2014.aeo.com.pk
38,2018.uokadmission.edu.pk
39,210-56-9-84.dialup.isb.comsats.net.pk
40,24-7consultancy.pk
41,24hours.pk
42,24seven.pk
43,2828.pk
44,2bit.pk
45,2ndyearresult2025.pk
46,2rent.pk
47,2sstore.pk
48,360ess.com.pk
49,399bet.com.pk
50,3am.com.pk
51,3dlifestyle.pk
52,3m.com.pk
53,3pattiboss.com.pk
54,3realtors.pk
55,3sbrands.pk
56,42dc.pk
57,5050.pk
58,5145474.gomart.pk
59,5454723.prospects.pk
60,5974029.linkexchange.com.pk
61,5gbet.pk
62,5store.pk
63,6202157.verve.pk
64,66k.monitoring.tevta.gop.pk
65,6824399.ckl.com.pk
66,6939648.denning.com.pk
67,777-fe.com.pk
68,777ad.com.pk
69,777cx.com.pk
70,777fegame.pk
71,777score.pk
72,7mart.pk
73,7star.pk
74,800degree.com.pk
75,8171-webportal.com.pk
76,8171-webportal.pk
77,8171.com.pk
78,8171alert.com.pk
79,8171alerts.org.pk
80,8171ehsaasnews.com.pk
81,8171ehsaasnews.pk
82,8171ehsaasprogrambisp.pk
83,8171ehsaasprograme.pk
84,8171ip.com.pk
85,8171ip.pk
86,8171official.com.pk
87,8171official.org.pk
88,8171official.pk
89,8171onlinecheck.pk
90,8171payment.pk
91,8171portal.org.pk
92,8171portalonline.pk
93,8171update.pk
94,8171webportalonline.com.pk
95,8171webportalonline.pk
96,818realtors.pk
97,92beddingstore.pk
98,92coco.com.pk
99,92dadu.com.pk
100,92galaxy.com.pk
101,92glory.com.pk
102,92jeeto.com.pk
103,92pakapp.com.pk
104,92pakk.com.pk
105,92pakk.pk
106,92pkr.com.pk
107,92r.com.pk
108,92star.com.pk
109,92strike.pk
110,999.com.pk
111,99pot.pk
112,9needles.pk
113,9thclass.pk
114,9thclassresult2025.pk
115,9thclassresults.com.pk
116,a.cricketpakistan.pk
117,a1sitehost.pk
118,a4tech.com.pk
119,a777game.com.pk
120,aaa.org.pk
121,aacomputers.pk
122,aads.com.pk
123,aaengineering.pk
124,aaengineers.pk
125,aaenterprises.com.pk
126,aaexchange.pk
127,aaexports.com.pk
128,aaf.com.pk
129,aaf.org.pk
130,aafw.easy365.pk
131,aaha.pk
132,aahs.kmu.edu.pk
133,aaida.pk
134,aaifamily.pk
135,aaims.edu.pk
136,aaish.pk
137,aalat.pk
138,aalaya.pk
139,aamc.edu.pk
140,aamdan.pk
141,aametals.com.pk
142,aamir.com.pk
143,aamirniazi.pk
144,aamloegitehad-ali.pk
145,aao.com.pk
146,aapconstruction.pk
147,aaphealth.gos.pk
148,aapl.com.pk
149,aapp.arwaj.com.pk
150,aapp.simsin.com.pk
151,aarsh.getlow.pk
152,aarz.pk
153,aas.org.pk
154,aasanhai.pk
155,aasolutions.pk
156,aasystem.com.pk
157,aatraders.com.pk
158,abacity.com.pk
159,abacus-institute.edu.pk
160,abasyn.edu.pk
161,abasynisb.edu.pk
162,abaya.pk
163,abbottabadcampus.fscs.pk
164,abbottabadpolice.kp.gov.pk
165,abc.dmk.com.pk
166,abchygiene.pk
167,abd.arshad.pk
168,abdulaleemkhanfoundation.com.pk
169,abduljabbar.pk
170,abdullahenterprises.pk
171,abhi.com.pk
