Domain,Error Count,Warning Count,Error Details[0],Warning Details[0]
1jjgame.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
123movies.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
1winbet.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
1xbet-pk.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
1shr.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
2014.aeo.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
2bit.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
3dlifestyle.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
399bet.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
24-7consultancy.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
777ad.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
5974029.linkexchange.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171alert.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171ehsaasnews.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
777fegame.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
3pattiboss.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171payment.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171-webportal.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
5050.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171official.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171portalonline.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
818realtors.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171official.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
92pakapp.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171webportalonline.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
a1sitehost.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
8171webportalonline.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aacomputers.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
a777game.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aaa.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aaf.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aametals.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aamloegitehad-ali.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aapl.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aapp.simsin.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
abbottabadpolice.kp.gov.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
