index,domains
1,0gomovies.com.pk
2,1-win.pk
3,100keys.com.pk
4,103-86-135-178.mispl.pk
5,10scaff.tuf.edu.pk
6,10thclassresult2025.com.pk
7,116.58.33-90.nexlinx.net.pk
8,11thclassresult2025.pk
9,123movies.com.pk
10,123movies.net.pk
11,14thaugust.ff.garena.pk
12,16singhaar.pk
13,19pharma.com.pk
14,1click.pk
15,1jjgame.com.pk
16,1link.net.pk
17,1outlets.pk
18,1seven.pk
19,1shr.pk
20,1ststep.pk
21,1toanother.org.pk
22,1win-casino.pk
23,1win-mobile.pk
24,1win-pak.pk
25,1win-pakistan.pk
26,1win.com.pk
27,1win.pk
28,1win1.pk
29,1winapps.pk
30,1winbet.pk
31,1winpakistanbk.pk
32,1wins.pk
33,1winsports.pk
34,1xbet-app.pk
35,1xbet-pk.pk
36,1xbet.pk
37,2014.aeo.com.pk
38,2018.uokadmission.edu.pk
39,210-56-9-84.dialup.isb.comsats.net.pk
40,24-7consultancy.pk
41,24hours.pk
42,24seven.pk
43,2828.pk
44,2bit.pk
45,2ndyearresult2025.pk
46,2rent.pk
47,2sstore.pk
48,360ess.com.pk
49,399bet.com.pk
50,3am.com.pk
51,3dlifestyle.pk
52,3m.com.pk
53,3pattiboss.com.pk
54,3realtors.pk
55,3sbrands.pk
56,42dc.pk
57,5050.pk
58,5145474.gomart.pk
59,5454723.prospects.pk
60,5974029.linkexchange.com.pk
61,5gbet.pk
62,5store.pk
63,6202157.verve.pk
64,66k.monitoring.tevta.gop.pk
65,6824399.ckl.com.pk
66,6939648.denning.com.pk
67,777ad.com.pk
68,777cx.com.pk
69,777fegame.pk
70,777score.pk
71,7mart.pk
72,7star.pk
73,800degree.com.pk
74,8171-webportal.com.pk
75,8171-webportal.pk
76,8171.com.pk
77,8171alert.com.pk
78,8171alerts.org.pk
79,8171ehsaasnews.com.pk
80,8171ehsaasnews.pk
81,8171ehsaasprogrambisp.pk
82,8171ehsaasprograme.pk
83,8171official.com.pk
84,8171official.org.pk
85,8171official.pk
86,8171onlinecheck.pk
87,8171payment.pk
88,8171portal.org.pk
89,8171portalonline.pk
90,8171update.pk
91,8171webportalonline.com.pk
92,8171webportalonline.pk
93,818realtors.pk
94,92beddingstore.pk
95,92coco.com.pk
96,92dadu.com.pk
97,92galaxy.com.pk
98,92glory.com.pk
99,92jeeto.com.pk
