index,domain
1,0gomovies.com.pk
2,1-win.pk
3,100keys.com.pk
4,103-86-135-178.mispl.pk
5,10scaff.tuf.edu.pk
6,10thclassresult2025.com.pk
7,116.58.33-90.nexlinx.net.pk
8,11thclassresult2025.pk
9,123movies.com.pk
10,123movies.net.pk
11,1339.gos.pk
12,14thaugust.ff.garena.pk
13,16singhaar.pk
14,19pharma.com.pk
15,1click.pk
16,1jjgame.com.pk
17,1link.net.pk
18,1outlets.pk
19,1seven.pk
20,1shr.pk
21,1ststep.pk
22,1toanother.org.pk
23,1win-casino.pk
24,1win-mobile.pk
25,1win-pak.pk
26,1win-pakistan.pk
27,1win.com.pk
28,1win.pk
29,1win1.pk
30,1winapps.pk
31,1winbet.pk
32,1winpakistanbk.pk
33,1wins.pk
34,1winsports.pk
35,1xbet-app.pk
36,1xbet-pk.pk
37,1xbet.pk
38,2014.aeo.com.pk
39,2018.uokadmission.edu.pk
40,210-56-9-84.dialup.isb.comsats.net.pk
41,24-7consultancy.pk
42,24hours.pk
43,24seven.pk
44,2828.pk
45,2bit.pk
46,2ndyearresult2025.pk
47,2rent.pk
48,2sstore.pk
49,360ess.com.pk
50,399bet.com.pk
51,3am.com.pk
52,3dlifestyle.pk
53,3m.com.pk
54,3pattiboss.com.pk
55,3realtors.pk
56,3sbrands.pk
57,42dc.pk
58,5050.pk
59,5145474.gomart.pk
60,5454723.prospects.pk
61,5974029.linkexchange.com.pk
62,5gbet.pk
63,5store.pk
64,6202157.verve.pk
65,66k.monitoring.tevta.gop.pk
66,6824399.ckl.com.pk
67,6939648.denning.com.pk
68,777-fe.com.pk
69,777ad.com.pk
70,777cx.com.pk
71,777fegame.pk
72,777score.pk
73,7mart.pk
74,7star.pk
75,800degree.com.pk
76,8171-webportal.com.pk
77,8171-webportal.pk
78,8171.com.pk
79,8171alert.com.pk
80,8171alerts.org.pk
81,8171ehsaasnews.com.pk
82,8171ehsaasnews.pk
83,8171ehsaasprogrambisp.pk
84,8171ehsaasprograme.pk
85,8171ip.com.pk
86,8171ip.pk
87,8171official.com.pk
88,8171official.org.pk
89,8171official.pk
90,8171onlinecheck.pk
91,8171payment.pk
92,8171portal.org.pk
93,8171portalonline.pk
94,8171update.pk
95,8171webportalonline.com.pk
96,8171webportalonline.pk
97,818realtors.pk
98,92beddingstore.pk
99,92coco.com.pk
100,92dadu.com.pk
101,92galaxy.com.pk
102,92glory.com.pk
103,92jeeto.com.pk
104,92pakapp.com.pk
105,92pakk.com.pk
106,92pakk.pk
107,92pkr.com.pk
108,92r.com.pk
109,92star.com.pk
110,92strike.pk
111,999.com.pk
112,99pot.pk
113,9needles.pk
114,9thclass.pk
115,9thclassresult2025.pk
116,9thclassresults.com.pk
117,a.cricketpakistan.pk
118,a1sitehost.pk
119,a4tech.com.pk
120,a777game.com.pk
121,aaa.org.pk
122,aacomputers.pk
123,aads.com.pk
124,aaengineering.pk
125,aaengineers.pk
126,aaenterprises.com.pk
127,aaexchange.pk
128,aaexports.com.pk
129,aaf.com.pk
130,aaf.org.pk
131,aafw.easy365.pk
132,aaha.pk
133,aahs.kmu.edu.pk
134,aaida.pk
135,aaifamily.pk
136,aaims.edu.pk
137,aaish.pk
138,aalat.pk
139,aalaya.pk
140,aamc.edu.pk
141,aamdan.pk
142,aametals.com.pk
143,aamir.com.pk
144,aamirniazi.pk
145,aamloegitehad-ali.pk
146,aao.com.pk
147,aapconstruction.pk
148,aaphealth.gos.pk
149,aapl.com.pk
150,aapp.arwaj.com.pk
151,aapp.simsin.com.pk
152,aarsh.getlow.pk
153,aarz.pk
154,aas.org.pk
155,aasanhai.pk
156,aasolutions.pk
157,aasystem.com.pk
158,aatraders.com.pk
159,abacity.com.pk
160,abacus-institute.edu.pk
161,abasyn.edu.pk
162,abasynisb.edu.pk
163,abaya.pk
164,abbottabadcampus.fscs.pk
165,abbottabadpolice.kp.gov.pk
166,abc.dmk.com.pk
167,abchygiene.pk
168,abd.arshad.pk
169,abdulaleemkhanfoundation.com.pk
170,abduljabbar.pk
171,abdullahenterprises.pk
